,won,games,max stake,% won
551,False,5,4000.0,20.0
552,False,8,6000.0,38.0
553,True,18,8000.0,56.00000000000001
554,False,22,8000.0,41.0
555,True,12,4000.0,83.0
556,True,19,8000.0,53.0
557,True,13,2000.0,77.0
558,False,11,7000.0,36.0
559,False,10,4000.0,20.0
560,True,13,2000.0,77.0
561,False,11,8000.0,45.0
562,True,19,4000.0,53.0
563,False,6,4000.0,17.0
564,True,16,2000.0,62.0
565,False,10,8000.0,50.0
566,True,16,4000.0,62.0
567,False,11,8000.0,55.00000000000001
568,True,19,8000.0,53.0
569,True,16,4000.0,62.0
570,False,8,6000.0,38.0
571,True,19,4000.0,53.0
572,False,7,6000.0,43.0
573,False,7,5000.0,28.999999999999996
574,False,5,4000.0,20.0
575,False,5,4000.0,20.0
576,False,4,4000.0,0.0
577,True,13,4000.0,77.0
578,False,26,8000.0,46.0
579,False,4,4000.0,0.0
580,False,23,8000.0,48.0
581,True,27,6000.0,56.00000000000001
582,False,10,7000.0,40.0
583,True,23,8000.0,43.0
584,False,23,8000.0,30.0
585,False,22,8000.0,41.0
586,True,12,2000.0,83.0
587,False,18,8000.0,39.0
588,False,23,8000.0,39.0
589,False,9,7000.0,44.0
590,True,13,2000.0,77.0
591,False,15,7000.0,40.0
592,True,17,4000.0,59.0
593,True,13,4000.0,77.0
594,False,6,5000.0,33.0
595,True,24,8000.0,50.0
596,False,17,5000.0,35.0
597,True,15,4000.0,67.0
598,True,21,8000.0,48.0
599,False,6,4000.0,17.0
600,True,16,4000.0,62.0
601,True,17,4000.0,59.0
602,False,4,4000.0,0.0
603,False,25,7000.0,36.0
604,True,14,8000.0,71.0
605,True,23,4000.0,43.0
606,True,19,4000.0,53.0
607,True,57,8000.0,53.0
608,True,35,4000.0,51.0
609,True,16,4000.0,62.0
610,True,16,4000.0,62.0
611,False,23,8000.0,43.0
612,True,18,4000.0,56.00000000000001
613,False,6,4000.0,17.0
614,True,20,8000.0,50.0
615,False,21,4000.0,48.0
616,True,39,8000.0,62.0
617,True,46,8000.0,54.0
618,True,14,2000.0,71.0
619,False,35,8000.0,49.0
620,True,29,7000.0,52.0
621,False,13,7000.0,31.0
622,False,5,4000.0,20.0
623,True,13,2000.0,77.0
624,False,6,5000.0,33.0
625,False,10,6000.0,30.0
626,False,20,8000.0,30.0
627,True,17,4000.0,59.0
628,False,4,4000.0,0.0
629,True,17,4000.0,59.0
630,False,7,5000.0,28.999999999999996
631,False,28,8000.0,46.0
632,True,12,2000.0,83.0
633,True,15,4000.0,67.0
634,False,15,5000.0,33.0
635,False,11,8000.0,45.0
636,True,15,4000.0,67.0
637,False,8,6000.0,38.0
638,True,23,8000.0,43.0
639,False,7,4000.0,14.000000000000002
640,True,21,4000.0,48.0
641,True,26,8000.0,50.0
642,True,17,4000.0,59.0
643,False,8,4000.0,25.0
644,True,17,4000.0,59.0
645,False,24,8000.0,42.0
646,False,7,5000.0,28.999999999999996
647,False,18,7000.0,33.0
648,True,26,8000.0,50.0
649,False,7,4000.0,14.000000000000002
650,True,22,6000.0,55.00000000000001
651,False,10,6000.0,30.0
652,False,15,8000.0,40.0
653,True,16,4000.0,62.0
654,False,8,5000.0,25.0
655,True,15,4000.0,67.0
656,False,11,7000.0,36.0
657,True,15,4000.0,67.0
658,True,17,4000.0,59.0
659,True,14,4000.0,71.0
660,False,4,4000.0,0.0
661,True,16,4000.0,62.0
662,True,16,4000.0,62.0
663,True,30,8000.0,40.0
664,False,4,4000.0,0.0
665,True,28,8000.0,43.0
666,False,18,8000.0,44.0
667,False,15,8000.0,53.0
668,True,14,4000.0,71.0
669,False,6,4000.0,17.0
670,True,14,4000.0,71.0
671,True,19,4000.0,53.0
672,True,16,8000.0,62.0
673,False,4,4000.0,0.0
674,True,14,2000.0,71.0
675,False,4,4000.0,0.0
676,False,17,8000.0,41.0
677,True,13,2000.0,77.0
678,True,16,4000.0,62.0
679,True,14,2000.0,71.0
680,False,6,5000.0,33.0
681,True,14,4000.0,71.0
682,True,17,4000.0,59.0
683,False,15,8000.0,53.0
684,True,28,8000.0,46.0
685,False,8,6000.0,38.0
686,False,22,5000.0,45.0
687,True,18,4000.0,56.00000000000001
688,True,38,8000.0,47.0
689,True,15,4000.0,67.0
690,True,21,8000.0,48.0
691,True,26,5000.0,50.0
692,False,17,4000.0,28.999999999999996
693,False,12,4000.0,33.0
694,False,6,4000.0,17.0
695,False,13,8000.0,38.0
696,False,9,6000.0,33.0
697,False,4,4000.0,0.0
698,False,7,6000.0,43.0
699,False,11,6000.0,27.0
700,False,17,8000.0,53.0
701,True,15,2000.0,67.0
702,False,18,8000.0,56.00000000000001
703,False,10,8000.0,50.0
704,False,4,4000.0,0.0
705,False,18,8000.0,39.0
706,False,38,8000.0,45.0
707,False,4,4000.0,0.0
708,True,21,8000.0,48.0
709,False,22,8000.0,36.0
710,False,15,8000.0,47.0
711,False,12,8000.0,42.0
712,False,4,4000.0,0.0
713,True,30,5000.0,43.0
714,False,13,8000.0,54.0
715,False,11,4000.0,27.0
716,False,25,7000.0,48.0
717,False,21,8000.0,43.0
718,True,22,8000.0,45.0
719,True,20,7000.0,55.00000000000001
720,False,14,4000.0,28.999999999999996
721,False,16,4000.0,25.0
722,True,25,5000.0,52.0
723,True,17,8000.0,59.0
724,False,9,4000.0,22.0
725,False,4,4000.0,0.0
726,True,24,6000.0,50.0
727,True,22,8000.0,55.00000000000001
728,True,22,6000.0,55.00000000000001
729,False,25,7000.0,44.0
730,False,14,8000.0,43.0
731,False,55,8000.0,49.0
732,True,16,4000.0,62.0
733,True,20,4000.0,50.0
734,False,11,7000.0,36.0
735,False,6,5000.0,33.0
736,False,19,7000.0,42.0
737,True,17,4000.0,59.0
738,True,20,8000.0,50.0
739,False,8,5000.0,25.0
740,False,15,7000.0,40.0
741,True,15,4000.0,67.0
742,True,23,8000.0,48.0
743,True,33,8000.0,67.0
744,False,23,5000.0,26.0
745,False,4,4000.0,0.0
746,False,20,8000.0,40.0
747,False,16,4000.0,25.0
748,False,7,5000.0,28.999999999999996
749,False,12,4000.0,33.0
750,False,4,4000.0,0.0
751,False,12,4000.0,25.0
752,False,11,6000.0,27.0
753,True,14,2000.0,71.0
754,True,24,4000.0,62.0
755,False,7,4000.0,14.000000000000002
756,False,4,4000.0,0.0
757,False,12,4000.0,33.0
758,True,19,4000.0,53.0
759,True,20,4000.0,50.0
760,True,15,4000.0,67.0
761,True,17,4000.0,59.0
762,True,14,8000.0,71.0
763,True,13,2000.0,77.0
764,True,12,4000.0,83.0
765,False,4,4000.0,0.0
766,True,12,2000.0,83.0
767,False,17,8000.0,35.0
768,True,19,8000.0,53.0
769,True,15,4000.0,67.0
770,True,15,8000.0,67.0
771,False,12,8000.0,42.0
772,True,24,8000.0,54.0
773,False,6,4000.0,17.0
774,False,7,6000.0,43.0
775,True,13,2000.0,77.0
776,False,4,4000.0,0.0
777,True,19,7000.0,57.99999999999999
778,True,16,8000.0,62.0
779,False,20,8000.0,45.0
780,False,14,8000.0,36.0
781,False,6,4000.0,17.0
782,True,18,8000.0,56.00000000000001
783,False,20,4000.0,35.0
784,False,8,5000.0,25.0
785,True,16,4000.0,62.0
786,True,16,4000.0,62.0
787,False,4,4000.0,0.0
788,False,19,8000.0,37.0
789,True,17,2000.0,59.0
790,False,15,8000.0,47.0
791,False,18,8000.0,33.0
792,True,18,4000.0,56.00000000000001
793,True,21,8000.0,48.0
794,False,38,8000.0,45.0
795,True,15,4000.0,67.0
796,True,21,4000.0,48.0
797,True,23,8000.0,43.0
798,True,15,8000.0,67.0
799,False,11,7000.0,36.0
800,True,18,4000.0,56.00000000000001
801,False,12,7000.0,33.0
802,False,28,8000.0,39.0
803,True,11,2000.0,91.0
804,False,6,4000.0,17.0
805,False,4,4000.0,0.0
806,True,20,7000.0,55.00000000000001
807,False,5,4000.0,20.0
808,True,21,5000.0,62.0
809,False,7,6000.0,43.0
810,False,13,6000.0,38.0
811,True,14,4000.0,71.0
812,False,4,4000.0,0.0
813,False,4,4000.0,0.0
814,True,13,4000.0,77.0
815,False,8,5000.0,25.0
816,False,12,4000.0,33.0
817,False,15,6000.0,33.0
818,True,16,4000.0,62.0
819,True,41,8000.0,59.0
820,True,16,4000.0,62.0
821,False,4,4000.0,0.0
822,True,20,4000.0,50.0
823,False,12,7000.0,33.0
824,True,14,4000.0,71.0
825,False,12,7000.0,33.0
826,False,13,8000.0,38.0
827,True,15,8000.0,67.0
828,True,38,8000.0,61.0
829,True,17,4000.0,59.0
830,True,17,8000.0,59.0
831,True,17,4000.0,59.0
832,True,26,8000.0,46.0
833,True,27,7000.0,41.0
834,True,17,8000.0,59.0
835,True,15,4000.0,67.0
836,False,14,6000.0,36.0
837,False,18,8000.0,50.0
838,True,13,4000.0,77.0
839,False,16,8000.0,50.0
840,False,4,4000.0,0.0
841,False,11,7000.0,36.0
842,True,14,2000.0,71.0
843,True,17,8000.0,59.0
844,True,15,2000.0,67.0
845,False,10,7000.0,40.0
846,False,10,8000.0,50.0
847,True,14,4000.0,71.0
848,False,12,4000.0,33.0
849,False,15,8000.0,40.0
850,False,25,4000.0,44.0
851,True,16,4000.0,62.0
852,True,16,8000.0,62.0
853,True,18,8000.0,56.00000000000001
854,True,17,4000.0,59.0
855,True,19,8000.0,53.0
856,True,15,8000.0,67.0
857,False,11,7000.0,36.0
858,True,18,7000.0,61.0
859,False,12,4000.0,42.0
860,True,20,4000.0,50.0
861,True,28,4000.0,54.0
862,True,16,2000.0,62.0
863,False,11,6000.0,27.0
864,False,7,5000.0,28.999999999999996
865,False,5,4000.0,20.0
866,True,25,7000.0,44.0
867,False,15,4000.0,40.0
868,True,16,4000.0,62.0
869,False,14,5000.0,36.0
870,True,15,2000.0,67.0
871,False,8,5000.0,25.0
872,True,14,4000.0,71.0
873,False,12,4000.0,42.0
874,False,7,6000.0,43.0
875,True,27,8000.0,52.0
876,False,11,8000.0,45.0
877,False,4,4000.0,0.0
878,False,10,6000.0,30.0
879,True,16,4000.0,62.0
880,False,4,4000.0,0.0
881,True,15,4000.0,67.0
882,True,17,4000.0,59.0
883,False,26,8000.0,42.0
884,True,17,4000.0,59.0
885,False,14,7000.0,28.999999999999996
886,True,14,4000.0,71.0
887,True,19,8000.0,53.0
888,True,11,2000.0,91.0
889,False,28,8000.0,46.0
890,True,23,6000.0,52.0
891,False,24,5000.0,33.0
892,False,4,4000.0,0.0
893,True,34,6000.0,47.0
